 |      |        mean  |         std  |        rmse  |      corr | 
 | ---- | ------------ | ------------ | ------------ | --------- | 
 | Fp1  |   -0.000005  |    1.051139  |    1.051139  |  0.819555 | 
 | Fp2  |  -63.883321  |   84.753464  |  106.133070  |  0.819555 | 
 | AF3  | -159.835011  |   91.494674  |  184.169776  |  0.819555 | 
 | AF4  | -133.567365  |   71.416374  |  151.461346  |  0.819555 | 
 | F3   | -151.235711  |   63.319334  |  163.956026  |  0.819555 | 
 | Fz   | -102.331371  |   75.716025  |  127.297392  |  0.819555 | 
 | F4   | -130.317760  |   99.973737  |  164.248186  |  0.819555 | 
 | FC3  | -164.510611  |   96.935795  |  190.945777  |  0.819555 | 
 | FCz  | -253.282080  |   95.594698  |  270.721551  |  0.819555 | 
 | FC4  | -206.200688  |   81.274935  |  221.640111  |  0.819555 | 
 | C3   | -124.944540  |   61.687641  |  139.343113  |  0.819555 | 
 | Cz   | -161.720632  |   85.524282  |  182.942520  |  0.819555 | 
 | C4   | -219.859758  |   73.787827  |  231.911527  |  0.819555 | 
 | CP3  |  -96.887454  |   64.302369  |  116.284020  |  0.819555 | 
 | CPz  |   72.759051  |   58.178940  |   93.159372  |  0.819555 | 
 | CP4  | -204.127651  |   80.535883  |  219.440485  |  0.819555 | 
 | P3   |  288.530486  |   88.853697  |  301.902005  |  0.819555 | 
 | Pz   |  133.393714  |   72.586014  |  151.863796  |  0.819555 | 
 | P4   |  -53.345404  |   37.714217  |   65.330654  |  0.819555 | 
 | O1   |    0.000171  |    2.900304  |    2.900304  |  0.819555 | 
 | Oz   | -109.460414  |  102.140234  |  149.713759  |  0.819555 | 
 | O2   | -109.538754  |   58.988632  |  124.412208  |  0.819555 | 
